City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kerikeri,-35.2268,173.9474,24.31,63,17,3.28,NZ,1707364509
1,waitangi,-43.9535,-176.5597,19.34,84,100,2.04,NZ,1707364509
2,port-aux-francais,-49.35,70.2167,4.31,70,82,11.96,TF,1707364509
3,mpanda,-6.3655,31.0409,17.27,96,34,0.52,TZ,1707364509
4,dakoro,14.5106,6.765,14.1,22,0,4.62,NE,1707364509
5,yellowknife,62.456,-114.3525,-15.88,85,100,2.06,CA,1707364342
6,tolanaro,-25.0319,46.9987,24.04,88,40,1.03,MG,1707364510
7,palmer,42.1584,-72.3287,1.01,73,40,0.0,US,1707364510
8,adamstown,-25.066,-130.1015,22.32,79,100,3.27,PN,1707364493
9,olonkinbyen,70.9221,-8.7187,-2.9,54,79,5.9,SJ,1707364498
10,bethel,41.3712,-73.414,2.19,66,0,1.54,US,1707364510
11,longyearbyen,78.2186,15.6401,-8.09,73,40,4.63,SJ,1707364510
12,blackmans bay,-43.0167,147.3167,23.62,55,1,5.01,AU,1707364510
13,laguna,38.421,-121.4238,8.36,91,100,4.12,US,1707364511
14,haiku-pauwela,20.9219,-156.3051,25.01,67,20,9.77,US,1707364511
15,keflavik,64.0049,-22.5624,-3.76,68,0,6.69,IS,1707364511
16,kiunga,-6.1219,141.2906,32.56,50,94,2.59,PG,1707364511
17,saint-denis,48.9167,2.3333,12.82,96,100,4.63,FR,1707364511
18,ushuaia,-54.8,-68.3,7.81,76,75,3.6,AR,1707364493
19,san patricio,28.017,-97.5169,20.97,82,94,6.78,US,1707364512
20,utrik,11.2278,169.8474,26.43,83,100,9.26,MH,1707364512
21,ilulissat,69.2167,-51.1,-11.99,67,100,7.72,GL,1707364512
22,wailua homesteads,22.0669,-159.378,26.24,74,100,6.69,US,1707364512
23,invercargill,-46.4,168.35,13.34,86,57,6.26,NZ,1707364497
24,thompson,55.7435,-97.8558,-14.91,85,100,2.06,CA,1707364508
25,buon ma thuot,12.6667,108.05,32.66,39,59,1.51,VN,1707364512
26,ar rahad,12.7167,30.65,15.89,21,32,2.9,SD,1707364513
27,margaret river,-33.95,115.0667,26.2,44,0,2.33,AU,1707364500
28,yatou,37.15,122.3833,1.18,61,93,6.3,CN,1707364513
29,dunedin,-45.8742,170.5036,19.33,50,23,5.36,NZ,1707364491
30,hamilton,39.1834,-84.5333,9.47,54,0,3.6,US,1707364288
31,bubaque,11.2833,-15.8333,26.0,72,100,4.58,GW,1707364513
32,hermanus,-34.4187,19.2345,17.11,80,73,3.55,ZA,1707364514
33,klyuchi,52.2667,79.1667,-5.33,83,11,4.75,RU,1707364492
34,klaksvik,62.2266,-6.589,-0.49,62,99,10.03,FO,1707364514
35,albertina,-22.2008,-46.6158,18.05,94,100,1.07,BR,1707364514
36,edinburgh of the seven seas,-37.0676,-12.3116,17.08,68,100,2.95,SH,1707364514
37,yung shue wan,22.2333,114.1167,14.79,87,98,0.89,HK,1707364514
38,lebu,-37.6167,-73.65,13.88,77,97,9.37,CL,1707364515
39,coyhaique,-45.5752,-72.0662,11.97,58,100,3.6,CL,1707364515
40,west island,-12.1568,96.8225,25.99,94,75,3.09,CC,1707364515
41,iskateley,67.6803,53.1512,-17.21,96,100,5.81,RU,1707364515
42,kaoma,-14.7833,24.8,17.85,92,100,1.27,ZM,1707364515
43,khorinsk,52.1657,109.7726,-14.16,86,92,1.39,RU,1707364515
44,santiago de cao,-7.9589,-79.2392,25.07,78,75,4.12,PE,1707364515
45,bilibino,68.0546,166.4372,-34.76,100,99,0.25,RU,1707364500
46,iqaluit,63.7506,-68.5145,-20.15,59,20,6.69,CA,1707364516
47,gadzhiyevo,69.2551,33.3362,-23.96,100,93,3.51,RU,1707364516
48,albany,42.6001,-73.9662,1.52,70,34,0.7,US,1707364498
49,grytviken,-54.2811,-36.5092,8.77,67,100,5.0,GS,1707364516
50,contamana,-7.3333,-75.0167,23.61,93,92,0.28,PE,1707364516
51,siwa oasis,29.2041,25.5195,12.27,59,2,1.8,EG,1707364516
52,mirnyy,62.5353,113.9611,-25.2,95,36,1.21,RU,1707364517
53,mbanza-ngungu,-5.25,14.8667,20.6,95,100,1.46,CD,1707364517
54,kirensk,57.7853,108.1119,-6.69,94,100,0.45,RU,1707364517
55,taulaga,-11.0553,-171.0883,27.92,85,100,11.07,AS,1707364517
56,alice springs,-23.7,133.8833,34.01,14,11,7.72,AU,1707364517
57,buala,-8.145,159.5921,30.08,73,100,6.06,SB,1707364517
58,stanley,54.868,-1.6985,-1.79,96,0,0.0,GB,1707364517
59,port lincoln,-34.7333,135.8667,20.46,58,4,5.28,AU,1707364517
60,arkalyk,50.2486,66.9114,-6.51,94,100,13.46,KZ,1707364518
61,zeya,53.75,127.2667,-11.95,72,92,2.44,RU,1707364518
62,vilyuchinsk,52.9306,158.4028,-4.85,80,100,0.65,RU,1707364518
63,loralai,30.3705,68.598,8.26,25,0,1.25,PK,1707364518
64,praia da vitoria,38.7333,-27.0667,16.14,77,20,8.56,PT,1707364518
65,tateyama,34.9833,139.8667,8.96,67,87,4.26,JP,1707364518
66,whitehorse,60.7161,-135.0538,-14.57,81,40,2.57,CA,1707364518
67,barra de santo antonio,-9.4047,-35.5072,25.6,81,79,4.32,BR,1707364518
68,alesund,62.4723,6.1549,-1.92,93,100,4.63,NO,1707364519
69,duluth,46.7833,-92.1066,5.19,82,0,6.69,US,1707364519
70,mount gambier,-37.8333,140.7667,22.84,41,0,5.04,AU,1707364320
71,bengkulu,-3.8004,102.2655,29.41,65,74,1.85,ID,1707364519
72,starocherkasskaya,47.2408,40.0419,5.64,81,66,7.73,RU,1707364519
73,kodiak,57.79,-152.4072,0.73,86,100,2.57,US,1707364497
74,kailua-kona,19.6406,-155.9956,25.98,77,40,2.57,US,1707364229
75,nagqu,31.5,92.0,-4.5,9,0,9.94,CN,1707364520
76,tiksi,71.6872,128.8694,-20.85,100,100,2.31,RU,1707364520
77,anadyr,64.75,177.4833,-16.72,85,75,7.0,RU,1707364520
78,novodvinsk,64.4165,40.8122,-30.14,99,98,2.51,RU,1707364520
79,ndele,8.4109,20.6473,19.63,27,7,2.16,CF,1707364520
80,ribeira grande,38.5167,-28.7,16.54,86,48,9.83,PT,1707364521
